ab crunch
crunch
curl up
curl-up
high knees
high knee
jumping jacks
jumping jack
jacks
jack
lunge
1 mile run
1-mile run
one mile run
one-mile run
plank
push up and rotation
push up
push-up and rotation
push-up
pushup and rotation
pushup
shuttle run
side plank
sit & reach
sit and reach
squat
step-up
triceps dip on chair
tricep dip on chair
v sit reach
v-sit reach
wall sit
wall-sit
