weight
dumbbell
box
chair
seat
a drink
water bottle
water
table
mat
towel
jump rope
items
item
objects
object
potted plant
the plant
treadmill
coffee jugs
coffee jug
rolling pin
bands
band
barbell
bench
exercise ball
ez bar
ez - bar
foam roll
kettlebell
machine
pull bar
weight plate
plate
walls
wall
rehydrate
hydrate
bike
rope
equipment
bicycle
ball
