good crisp movements,1,subjectivePhrases
good form,1,subjectivePhrases
keep it strong,0,subjectivePhrases
little bend,0,subjectivePhrases
little easier,0,subjectivePhrases
little explosion,0,subjectivePhrases
little harder,0,subjectivePhrases
nice and controlled,0,subjectivePhrases
nice and easy,0,subjectivePhrases
nice and flat,0,subjectivePhrases
nice and high,0,subjectivePhrases
nice and low,0,subjectivePhrases
nice and narrow,0,subjectivePhrases
nice and quick,0,subjectivePhrases
nice and small,0,subjectivePhrases
nice and stable,0,subjectivePhrases
nice and strong,2,subjectivePhrases
nice and tight,1,subjectivePhrases
nice and under control,0,subjectivePhrases
nice and wide,0,subjectivePhrases
nice strong,0,subjectivePhrases
powerfully,1,subjectivePhrases
really reach,0,subjectivePhrases
safe manner,0,subjectivePhrases
stay nice,0,subjectivePhrases
stay with it,2,subjectivePhrases
strong arm,0,subjectivePhrases
too much,0,subjectivePhrases
under control,0,subjectivePhrases
work it through,2,subjectivePhrases
working through,5,subjectivePhrases
works for you,0,subjectivePhrases
we are headed to,0,transitioning
we'll take it to,0,transitioning
we're back to,0,transitioning
we're changing,0,transitioning
we're doing,2,transitioning
we're going back to,0,transitioning
we're going back,0,transitioning
we're going into,0,transitioning
we're going to go back,0,transitioning
we're going to go,0,transitioning
we're going to,1,transitioning
we're gonna go to,0,transitioning
we're gonna go,2,transitioning
we're gonna do,0,transitioning
we're gonna move,2,transitioning
we're gonna,11,transitioning
we're moving into,0,transitioning
we've got another,0,transitioning
we've got some,1,transitioning
we're on to,0,transitioning
and we're straight in,1,transitioning
another combo,0,transitioning
do another,0,transitioning
going back to,0,transitioning
going into our,0,transitioning
going to go back,0,transitioning
gonna move straight into,1,transitioning
head to,0,transitioning
into the next,0,transitioning
it's coming next,1,transitioning
it's time for,0,transitioning
let's do,1,transitioning
march now,0,transitioning
now we're going up,0,transitioning
now we're going,0,transitioning
now I want you to,0,transitioning
now we're going,0,transitioning
right into the,0,transitioning
switch sides,0,transitioning
switch side,0,transitioning
then get up,0,transitioning
then I,0,transitioning
then we go to,0,transitioning
then we'll go,0,transitioning
then we'll,0,transitioning
then you're,0,transitioning
first we're,0,startingAnExercise
first workout,1,startingAnExercise
get right into it,0,startingAnExercise
we're getting ready,0,startingAnExercise
getting ready,0,startingAnExercise
getting right into it,0,startingAnExercise
here we go,9,startingAnExercise
join me now,0,startingAnExercise
we're gonna start off,0,startingAnExercise
start off,0,startingAnExercise
we're gonna start our,1,startingAnExercise
start our,1,startingAnExercise
we're gonna start with,1,startingAnExercise
we're going to start with,1,startingAnExercise
start with,3,startingAnExercise
starting off,0,startingAnExercise
the first exercise,1,startingAnExercise
we're going to start,1,startingAnExercise
