allotted time period
as quick as we can
at my counts
at my count
on my counts
on my count
at your own pace
your own pace
break whenever
cue you down
cue you
do it slow
don't rush
rush
fast as you can
fast pace
1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8
1 2 3 4 5 6 7
1 2 3 4 5 6
1 2 3 4 5
1 2 3 4
7 8 9 10
6 7 8 9
six seven eight nine
six seven
eight nine
5 come on 4 3 2 1
5 4 3 2 and last 1 0
5 4 3 2 and 1
5 4 3 2 1 0
5 4 3 2 1
4 3 2 1 and 0
4 3 2 1 0
last 4 3 2 1
4 3 2 1
4 3
1 2
in 3 come on in 2 and 1
in 3 2 and 1
in 3 2 1
3 come on 2 and 1
3 come on 2 1
3 in 2 and in 1
3 2 and 1
3 2 1 and 0
3 2
2 and again 1
2 and 1
2 1
five come on four three two one
five four three two and last one zero
five four three two and one
five four three two one zero
five four three two one
four three two one and zero 
four three two one zero
last four three two one
four three two one
four three
2 3 4
2 3
3 4
one two three four five
one two three four
two three four
one two
two three
three four
in three come on in two and one
in three two and one
in three two one
three come on two and one
three come on two one
three in two and in one
three two and one
three two one and zero
three two one
three two
two and again one
two and one
two one
go fast
go in a tempo
go slow
good tempo
tempo
moving at a pace
pace
pause whenever
pause
side side 
slow right down
slow down
slow slow slow
speed it up
speed this up
speed up
switch switch switch
take a break whenever
take a break
the pace is high
your pace
pause button
go ahead pause
pause the video
now's the time to pause
a break
rest now
rest
pause now
slowly
slower
slow
quickly
quick
faster
fast
speed
three two & one
nine and eight
nine & eight
nine eight
eight and seven
eight & seven
eight seven
seven and six
seven & six
seven six
six and five
six & five
six five
five and four
five & four
five four
four and three
four & three
three and two
three & two
two & one
9 and 8
9 & 8
9 8
8 and 7
8 & 7
8 7
7 and 6
7 & 6
7 6
6 and 5
6 & 5
6 5
5 and 4
5 & 4
5 4
4 and 3
4 & 3
3 and 2
3 & 2
2 & 1
one and two
one & two
one two & three
one two three
eight and nine
eight & nine
seven and eight
seven & eight
seven eight
six and seven
six & seven
five and six
five & six
five six
four and five
four & five
four five
three and four
three & four
two and three
two & three
8 and 9
8 & 9
8 9
7 and 8
7 & 8
7 8
6 and 7
6 & 7
6 7
5 and 6
5 6
4 and 5
4 & 5
4 5
3 and 4
3 & 4
2 and 3
2 & 3
1 and 2
1 & 2
