ab crunch
curl up
curl-up
high knee
jumping jack
lunge
one-mile run
plank
push up and rotation
push up
push-up and rotation
push-up
pushup and rotation
pushup
shuttle run
side plank
sit & reach
sit and reach
squat
step-up
triceps dip on chair
tricep dip on chair
v sit reach
v-sit reach
wall sit
wall-sit
