today's,today's,5.48,5.7700000000000005
workout's,<unk>,5.77,6.2299999999999995
going,,,
to,to,6.25,6.27
consist,consist,6.27,6.619999999999999
of,of,6.62,6.75
six,six,6.79,7.22
blocks,blocks,7.22,7.62
including,including,7.62,7.97
a,a,7.97,8.03
warm,warm,8.03,8.33
up,up,8.33,8.49
and,and,8.599999,8.779999
a,a,8.78,8.819999999999999
flexibility,flexibility,8.82,9.47
block,block,9.469999,9.819999
before,before,10.42,10.77
we,we,10.77,10.87
start,start,10.87,11.129999999999999
each,each,11.15,11.35
block,block,11.349999,11.669999
we're,we're,11.69,11.82
gonna,gonna,11.82,11.97
demonstrate,demonstrate,11.969999,12.519999
each,each,12.599999,12.869999
of,of,12.87,12.989999999999998
the,the,12.99,13.16
exercises,exercises,13.16,14.06
once,once,14.259999,14.519999
we're,we're,14.52,14.68
done,done,14.679999,15.029999
go,go,15.139999,15.319999
ahead,ahead,15.32,15.56
hit,hit,15.57,15.8
that,that,15.799999,15.989999
pause,pause,15.99,16.29
button,button,16.289999,16.549999000000003
and,and,16.549999,16.679999
it'll,it'll,16.68,16.919999999999998
be,be,16.92,17.03
your,your,17.029999,17.259999
turn,turn,17.299999,17.629998999999998
with,with,18.289999,18.469999
that,that,18.469999,18.639999000000003
being,being,18.64,18.92
said,said,18.92,19.290000000000003
we're,we're,19.32,19.490000000000002
gonna,gonna,19.49,19.529999999999998
get,get,19.53,19.68
started,started,19.68,19.97
with,with,19.97,20.08
this,this,20.08,20.229999999999997
warm,warm,20.23,20.490000000000002
up,up,20.490000000000002,20.700000000000003
we've,we've,20.87,21.03
got,got,21.04,21.25
five,five,21.25,21.66
exercises,exercises,21.68,22.46
starting,starting,22.68,23.08
first,first,23.08,23.34
D,d,23.34,23.66
let's,let's,23.7,23.86
get,get,23.86,24.009999999999998
that,that,24.009999999999998,24.159999999999997
March,march,24.16,24.43
going,going,24.43,24.78
we,we,24.94,25.07
got,got,25.07,25.23
our,our,25.23,25.37
high,high,25.37,25.71
knees,knees,25.71,26.03
here,here,26.03,26.37
we're,we're,26.509999999999998,26.639999999999997
gonna,gonna,26.639999,26.819999
get,get,26.82,26.95
that,that,26.95,27.11
knee,knee,27.11,27.39
up,up,27.429999000000002,27.689999000000004
towards,towards,27.7,28.12
the,the,28.119999999999997,28.31
hip,hip,28.309998999999998,28.679999
arms,arms,28.869999999999997,29.31
proud,proud,29.33,29.74
chest,chest,29.740000000000002,30.110000000000003
nice,nice,30.11,30.43
and,and,30.429999000000002,30.639999000000003
tall,tall,30.639999,31.089999
options,options,31.92,32.35
here,here,32.349999,32.529999
you,you,32.53,32.61
can,can,32.61,32.72
always,always,32.719999,32.969999
reduce,reduce,32.969999,33.229999
the,the,33.230000000000004,33.34
range,range,33.339999,33.539999
of,of,33.54,33.65
motion,motion,33.65,33.93
if,if,33.929999,34.039999
you,you,34.039999,34.159999
need,need,34.16,34.379999999999995
to,to,34.379999,34.399999
that's,,,
going,,,
to,to,35.1,35.18
go,go,35.219999,35.399999
right,right,35.4,35.72
into,into,35.75,36.09
ten,ten,36.14,36.51
reps,reps,36.510000000000005,36.830000000000005
of,of,36.85,36.99
a,a,36.99,37.07
forward,forward,37.07,37.54
arm,arm,37.56,37.86
circle,circle,37.86,38.19
bringing,bringing,38.19,38.41
those,those,38.41,38.599999999999994
arms,arms,38.61,39.01
out,out,39.03,39.370000000000005
nice,nice,39.63,40.13
and,and,40.13,40.370000000000005
wide,wide,40.37,40.669999999999995
we,we,40.68,40.839999999999996
really,really,40.84,41.03
want,want,41.03,41.15
to,to,41.15,41.199999999999996
open,open,41.21,41.47
up,up,41.47,41.61
the,the,41.61,41.73
chest,chest,41.730000000000004,42.13
and,and,42.13,42.300000000000004
shoulders,shoulders,42.3,42.849999999999994
with,with,42.85,42.96
this,this,42.96,42.99
once,once,43.68,43.9
we're,we're,43.9,44.01
done,done,44.01,44.169999999999995
with,with,44.17,44.28
those,those,44.28,44.46
ten,ten,44.47,44.73
we're,we're,44.730000000000004,44.81
gonna,gonna,44.809999,44.969998999999994
flip,flip,44.97,45.22
it,it,45.22,45.31
and,and,45.309999,45.469998999999994
reverse,reverse,45.469999,45.889999
it,it,45.889999,46.069999
now,now,46.08,46.4
we're,we're,46.4,46.49
gonna,gonna,46.49,46.620000000000005
