START,END,LENGTH
40.97,45.05,4.079999999999998
61.16,65.3,4.140000000000001
65.75,74.03999999999999,8.289999999999992
153.78,172.739999,18.95999900000001
186.09,199.75,13.659999999999997
203.08,209.04,5.9599999999999795
342.78,352.53,9.75
375.97,383.6,7.6299999999999955
386.22,392.29,6.069999999999993
394.14,435.089999,40.94999899999999
664.83,692.01,27.17999999999995
794.28,801.08,6.800000000000068
805.199999,817.279999,12.079999999999927
834.86,850.34,15.480000000000018
855.39,867.809999,12.419998999999962
947.73,966.199999,18.46999900000003
966.319999,982.5,16.180000999999947
992.25,1012.96,20.710000000000036
