START,END,LENGTH
295.25,299.32,4.069999999999993
641.3800000000001,645.9500000000002,4.57000000000005
680.62,687.11,6.490000000000009
793.81,799.01,5.2000000000000455
887.8100000000001,892.5,4.689999999999941
895.4699989999999,899.809999,4.340000000000032
909.19,916.24,7.0499999999999545
937.89,951.149999,13.259998999999993
1205.4299999999998,1209.4699999999998,4.039999999999964
1221.85,1228.59,6.740000000000009
1232.32,1241.709999,9.389998999999989
1266.14,1271.7299999999998,5.589999999999691
1493.969999,1498.489999,4.519999999999982
1504.61,1509.099999,4.489999000000125
1555.87,1560.27,4.400000000000091
1617.099999,1622.939999,5.839999999999918
1627.1699999999998,1635.96,8.790000000000191
