START,END,LENGTH
21.46,25.58,4.119999999999997
30.72,50.21,19.490000000000002
50.24,55.08,4.839999999999996
60.25,80.36,20.11
80.53999999999999,90.769998,10.229998000000009
93.23,97.45,4.219999999999999
99.59,125.0,25.409999999999997
135.34,160.949999,25.609998999999988
202.09,230.299999,28.20999900000001
311.5,340.35,28.850000000000023
347.27000000000004,375.37,28.099999999999966
381.09,410.469999,29.379998999999998
416.72,445.63,28.909999999999968
452.92,480.43,27.50999999999999
496.43,515.48,19.05000000000001
519.1899999999999,541.8499999999999,22.659999999999968
561.5899989999999,585.42,23.83000100000004
589.26,595.49,6.230000000000018
603.52,617.76,14.240000000000009
617.9499999999999,630.68,12.730000000000018
636.92,665.799999,28.879998999999998
674.44,701.87,27.42999999999995
716.139999,733.729999,17.590000000000032
740.96,768.1600000000001,27.200000000000045
848.18,859.93,11.75
859.9799999999999,873.44,13.46000000000015
885.470001,908.38,22.90999899999997
