almost finished
nearly over
few minute
few second
we have five seconds
we've got 40 seconds
work for 20 seconds
got 10 more seconds
last 60 seconds
almost done
almost there
can see the finish line
five more seconds
forty seconds here
forty second
getting close to the end
halfway done
more seconds left
seconds left
second left
more seconds
not done yet
not much left
not much time left
second break
seconds here
got ten seconds
we are almost there
we're halfway
halfway already
halfway there
halfway over
halfway
1 second of
2 seconds of
3 seconds of
4 seconds of
5 seconds of
6 seconds of
7 seconds of
8 seconds of
9 seconds of
10 seconds of
15 seconds of
20 seconds of
25 seconds of
30 seconds of
35 seconds of
40 seconds of
45 seconds of
50 seconds of
55 seconds of
60 seconds of
one seconds of
two seconds of
three seconds of
four seconds of
five seconds of
six seconds of
seven seconds of
eight seconds of
nine seconds of
ten seconds of
fifteen seconds of
twenty seconds of
twenty five seconds of
thirty seconds of
thirty five seconds of
forty seconds of
forty five seconds of
fifty seconds of
fifty five seconds of
sixty seconds of
1 second
2 seconds
3 seconds
4 seconds
5 seconds
6 seconds
7 seconds
8 seconds
9 seconds
10 seconds
15 seconds
20 seconds
25 seconds
30 seconds
35 seconds
40 seconds
45 seconds
50 seconds
55 seconds
60 seconds
one seconds
two seconds
three seconds
four seconds
five seconds
six seconds
seven seconds
eight seconds
nine seconds
ten seconds
fifteen seconds
twenty seconds
twenty five seconds
thirty seconds
thirty five seconds
forty seconds
forty five seconds
fifty seconds
fifty five seconds
sixty seconds
1 second left
2 seconds left
3 seconds left
4 seconds left
5 seconds left
6 seconds left
7 seconds left
8 seconds left
9 seconds left
10 seconds left
15 seconds left
20 seconds left
25 seconds left
30 seconds left
35 seconds left
40 seconds left
45 seconds left
50 seconds left
55 seconds left
60 seconds left
one seconds left
two seconds left
three seconds left
four seconds left
five seconds left
six seconds left
seven seconds left
eight seconds left
nine seconds left
ten seconds left
fifteen seconds left
twenty seconds left
twenty five seconds left
thirty seconds left
thirty five seconds left
forty seconds left
forty five seconds left
fifty seconds left
fifty five seconds left
sixty seconds left
one second
two second
three second
four second
five second
six second
seven second
eight second
nine second
ten second
fifteen second
twenty second
twenty five second
thirty second
thirty five second
forty five second
fifty second
fifty five second
sixty second
couple more minute
few more minute
more minute
extra minute
1 minute
2 minute
3 minute
4 minute
5 minute
6 minute
7 minute
8 minute
9 minute
10 minute
15 minute
20 minute
25 minute
30 minute
35 minute
40 minute
45 minute
50 minute
55 minute
60 minute
one minute
two minute
three minute
four minute
five minute
six minute
seven minute
eight minute
nine minute
ten minute
fifteen minute
twenty minute
twenty five minute
thirty minute
thirty five minute
forty minute
forty five minute
fifty minute
fifty five minute
sixty minute
1 hour
2 hour
3 hour
4 hour
5 hour
6 hour
7 hour
8 hour
9 hour
10 hour
15 hour
20 hour
25 hour
30 hour
35 hour
40 hour
45 hour
50 hour
55 hour
60 hour
one hour
two hour
three hour
four hour
five hour
six hour
seven hour
eight hour
nine hour
ten hour
fifteen hour
twenty hour
twenty five hour
thirty hour
thirty five hour
forty hour
forty five hour
fifty hour
fifty five hour
sixty hour
1 more second
2 more second
3 more second
4 more second
5 more second
6 more second
7 more second
8 more second
9 more second
10 more second
15 more second
20 more second
25 more second
30 more second
35 more second
40 more second
45 more second
50 more second
55 more second
60 more second
one more second
two more second
three more second
four more second
five more second
six more second
seven more second
eight more second
nine more second
ten more second
fifteen more second
twenty more second
twenty five more second
thirty more second
thirty five more second
forty more second
forty five more second
fifty more second
fifty five more second
sixty more second
minute
hour
more second
second of
seconds of
seconds
second rest
